id,name,grandslamFinals,grandSlamTitles,list
200033,Serena Williams,17,12,"('Australian Open', 'Wimbledon', 'Wimbledon', 'US Open', 'Roland Garros', 'US Open', 'US Open', 'Australian Open', 'Roland Garros', 'Wimbledon', 'Wimbledon', 'Australian Open')"
200003,Justine Henin,1,0,()
201212,Francesca Schiavone,2,1,"('Roland Garros',)"
201325,Samantha Stosur,2,1,"('US Open',)"
201329,Vera Zvonareva,2,0,()
200079,Kim Clijsters,2,2,"('US Open', 'Australian Open')"
201419,Na Li,4,2,"('Roland Garros', 'Australian Open')"
201520,Petra Kvitova,2,2,"('Wimbledon', 'Wimbledon')"
201345,Maria Sharapova,6,2,"('Roland Garros', 'Roland Garros')"
201458,Victoria Azarenka,4,2,"('Australian Open', 'Australian Open')"
201506,Sara Errani,1,0,()
201474,Agnieszka Radwanska,1,0,()
201294,Marion Bartoli,1,1,"('Wimbledon',)"
201513,Sabine Lisicki,1,0,()
201495,Dominika Cibulkova,1,0,()
201594,Simona Halep,4,1,"('Roland Garros',)"
202446,Eugenie Bouchard,1,0,()
201496,Caroline Wozniacki,2,1,"('Australian Open',)"
201425,Lucie Safarova,1,0,()
202469,Garbine Muguruza,3,2,"('Roland Garros', 'Wimbledon')"
201355,Flavia Pennetta,1,1,"('US Open',)"
201311,Roberta Vinci,1,0,()
201493,Angelique Kerber,4,3,"('US Open', 'Australian Open', 'Wimbledon')"
201662,Karolina Pliskova,1,0,()
211533,Jelena Ostapenko,1,1,"('Roland Garros',)"
200748,Venus Williams,2,0,()
201585,Sloane Stephens,2,1,"('US Open',)"
201619,Madison Keys,1,0,()
211768,Naomi Osaka,1,1,"('US Open',)"
