id,name,grandSlamFinals,grandSlamTitles,list
103819,Roger Federer,17,13,"('Wimbledon', 'Wimbledon', 'US Open', 'Australian Open', 'Wimbledon', 'US Open', 'Wimbledon', 'US Open', 'Australian Open', 'Wimbledon', 'US Open', 'Australian Open', 'US Open')"
104745,Rafael Nadal,7,5,"('Roland Garros', 'Roland Garros', 'Roland Garros', 'Roland Garros', 'Wimbledon')"
101736,Andre Agassi,5,3,"('Australian Open', 'Australian Open', 'Australian Open')"
102856,Gustavo Kuerten,2,2,"('Roland Garros', 'Roland Garros')"
101948,Pete Sampras,4,2,"('Wimbledon', 'US Open')"
103498,Marat Safin,4,2,"('US Open', 'Australian Open')"
103720,Lleyton Hewitt,4,2,"('US Open', 'Wimbledon')"
103507,Juan Carlos Ferrero,3,1,"('Roland Garros',)"
104925,Novak Djokovic,2,1,"('Australian Open',)"
103292,Gaston Gaudio,1,1,"('Roland Garros',)"
104053,Andy Roddick,4,1,"('US Open',)"
102563,Thomas Johansson,1,1,"('Australian Open',)"
102610,Albert Costa,1,1,"('Roland Garros',)"
101964,Goran Ivanisevic,1,1,"('Wimbledon',)"
103909,Guillermo Coria,1,0,()
104918,Andy Murray,1,0,()
103602,Fernando Gonzalez,1,0,()
102158,Patrick Rafter,2,0,()
104571,Marcos Baghdatis,1,0,()
103264,Mariano Puerta,1,0,()
102338,Yevgeny Kafelnikov,1,0,()
102374,Alex Corretja,1,0,()
103900,David Nalbandian,1,0,()
102783,Rainer Schuettler,1,0,()
102882,Mark Philippoussis,1,0,()
103096,Arnaud Clement,1,0,()
103280,Martin Verkerk,1,0,()
102796,Magnus Norman,1,0,()
104542,Jo-Wilfried Tsonga,1,0,()
