id,name,year,position
100581,John McEnroe,"[1976, 1977, 1978, 1979, 1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1981, 1990, 1991, 1992, 1993, 1994, 1995]","[264, 18, 4, 2, 1, 1, 1, 1, 1, 2, 7, 10, 4, 1, 4, 12, 17, 20, 1157, 1211]"
100656,Ivan Lendl,"[1978, 1979, 1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1981, 1990, 1991, 1992, 1993, 1994, 1995]","[70, 21, 6, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1, 3, 4, 6, 15, 55]"
101062,Mats Wilander,"[1979, 1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1981, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997]","[480, 283, 7, 4, 3, 3, 2, 2, 1, 1, 68, 9, 43, 159, 315, 116, 45, 46, 195]"
101222,Stefan Edberg,"[1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997]","[52, 17, 5, 3, 2, 2, 3, 1, 1, 1, 2, 3, 7, 14, 14]"
101414,Boris Becker,"[1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000]","[55, 5, 2, 2, 4, 2, 2, 1, 3, 3, 3, 3, 3, 6, 51, 54, 131]"
101736,Andre Agassi,"[1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007]","[613, 89, 24, 3, 3, 4, 4, 6, 7, 2, 1, 1, 8, 4, 1, 1, 2, 2, 1, 4, 5, 7, 150]"
101948,Pete Sampras,"[1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]","[95, 56, 5, 5, 2, 1, 1, 1, 1, 1, 1, 1, 1, 3, 10, 13]"
103819,Roger Federer,"[1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]","[692, 301, 57, 24, 12, 6, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 1, 3, 3, 5]"
104745,Rafael Nadal,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]","[811, 200, 45, 34, 2, 2, 2, 1, 1, 1, 1, 2, 1, 1, 3, 4, 1, 1, 1, 1, 2]"
104925,Novak Djokovic,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]","[660, 184, 75, 16, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
