id,name,grandSlamFinals,grandSlamTitles,list
200033,Serena Williams,32,23,"('US Open', 'Roland Garros', 'Wimbledon', 'US Open', 'Australian Open', 'Wimbledon', 'Australian Open', 'Australian Open', 'US Open', 'Australian Open', 'Wimbledon', 'Australian Open', 'Wimbledon', 'Wimbledon', 'US Open', 'Roland Garros', 'US Open', 'US Open', 'Australian Open', 'Roland Garros', 'Wimbledon', 'Wimbledon', 'Australian Open')"
200414,Steffi Graf,28,20,"('Roland Garros', 'Australian Open', 'Roland Garros', 'Wimbledon', 'US Open', 'Australian Open', 'Wimbledon', 'US Open', 'Australian Open', 'Wimbledon', 'Wimbledon', 'Roland Garros', 'Wimbledon', 'US Open', 'Australian Open', 'Roland Garros', 'Wimbledon', 'US Open', 'Wimbledon', 'US Open')"
200293,Martina Navratilova,28,16,"('Australian Open', 'Roland Garros', 'Wimbledon', 'Australian Open', 'Wimbledon', 'US Open', 'Roland Garros', 'Wimbledon', 'US Open', 'Australian Open', 'Wimbledon', 'Wimbledon', 'US Open', 'Wimbledon', 'US Open', 'Wimbledon')"
200259,Chris Evert,19,9,"('Roland Garros', 'US Open', 'Wimbledon', 'Australian Open', 'US Open', 'Roland Garros', 'Australian Open', 'Roland Garros', 'Roland Garros')"
200652,Monica Seles,11,8,"('Australian Open', 'Roland Garros', 'US Open', 'Australian Open', 'Roland Garros', 'US Open', 'Australian Open', 'Australian Open')"
200003,Justine Henin,12,7,"('Roland Garros', 'US Open', 'Australian Open', 'Roland Garros', 'Roland Garros', 'Roland Garros', 'US Open')"
200748,Venus Williams,16,7,"('Wimbledon', 'US Open', 'Wimbledon', 'US Open', 'Wimbledon', 'Wimbledon', 'Wimbledon')"
201345,Maria Sharapova,10,5,"('Wimbledon', 'US Open', 'Australian Open', 'Roland Garros', 'Roland Garros')"
200001,Martina Hingis,10,5,"('Australian Open', 'Wimbledon', 'US Open', 'Australian Open', 'Australian Open')"
200079,Kim Clijsters,8,4,"('US Open', 'US Open', 'US Open', 'Australian Open')"
200077,Jennifer Capriati,3,3,"('Australian Open', 'Roland Garros', 'Australian Open')"
201493,Angelique Kerber,4,3,"('US Open', 'Australian Open', 'Wimbledon')"
200128,Lindsay Davenport,7,3,"('US Open', 'Wimbledon', 'Australian Open')"
200017,Arantxa Sanchez Vicario,10,3,"('Roland Garros', 'Roland Garros', 'US Open')"
200065,Amelie Mauresmo,3,2,"('Australian Open', 'Wimbledon')"
200096,Mary Pierce,6,2,"('Australian Open', 'Roland Garros')"
201419,Na Li,4,2,"('Roland Garros', 'Australian Open')"
201520,Petra Kvitova,3,2,"('Wimbledon', 'Wimbledon')"
201458,Victoria Azarenka,4,2,"('Australian Open', 'Australian Open')"
201594,Simona Halep,5,2,"('Roland Garros', 'Wimbledon')"
202469,Garbine Muguruza,4,2,"('Roland Garros', 'Wimbledon')"
211768,Naomi Osaka,2,2,"('US Open', 'Australian Open')"
201320,Svetlana Kuznetsova,4,2,"('US Open', 'Roland Garros')"
201325,Samantha Stosur,2,1,"('US Open',)"
201212,Francesca Schiavone,2,1,"('Roland Garros',)"
201496,Caroline Wozniacki,3,1,"('Australian Open',)"
201294,Marion Bartoli,2,1,"('Wimbledon',)"
201355,Flavia Pennetta,1,1,"('US Open',)"
211533,Jelena Ostapenko,1,1,"('Roland Garros',)"
201585,Sloane Stephens,2,1,"('US Open',)"
202458,Ashleigh Barty,1,1,"('Roland Garros',)"
213550,Sofia Kenin,2,1,"('Australian Open',)"
201421,Ana Ivanovic,3,1,"('Roland Garros',)"
216347,Iga Swiatek,1,1,"('Roland Garros',)"
200397,Tracy Austin,1,1,"('US Open',)"
200572,Gabriela Sabatini,3,1,"('US Open',)"
200772,Anastasia Myskina,1,1,"('Roland Garros',)"
200150,Evonne Cawley,1,1,"('Wimbledon',)"
200049,Conchita Martinez,3,1,"('Wimbledon',)"
200539,Jana Novotna,4,1,"('Wimbledon',)"
200371,Mima Jausovec,1,0,()
201311,Roberta Vinci,1,0,()
200389,Kathy Jordan,1,0,()
201662,Karolina Pliskova,1,0,()
200108,Elena Dementieva,2,0,()
200381,Andrea Jaeger,2,0,()
201425,Lucie Safarova,1,0,()
201619,Madison Keys,1,0,()
200366,Sylvia Hanika,1,0,()
214954,Marketa Vondrousova,1,0,()
200337,Virginia Ruzici,1,0,()
200377,Helena Sukova,4,0,()
200116,Natalia Zvereva,1,0,()
202446,Eugenie Bouchard,1,0,()
201495,Dominika Cibulkova,1,0,()
201513,Sabine Lisicki,1,0,()
201474,Agnieszka Radwanska,1,0,()
201506,Sara Errani,1,0,()
200597,Mary Joe Fernandez,3,0,()
200404,Zina Garrison,1,0,()
201329,Vera Zvonareva,2,0,()
200081,Anke Huber,1,0,()
201347,Jelena Jankovic,1,0,()
201336,Dinara Safina,3,0,()
200097,Nathalie Tauziat,1,0,()
200209,Wendy Turnbull,1,0,()
