id,name,grandSlamFinals,grandSlamTitles,list
200033,Serena Williams,11,8,"('Roland Garros', 'Wimbledon', 'US Open', 'Australian Open', 'Wimbledon', 'Australian Open', 'Australian Open', 'US Open')"
200748,Venus Williams,12,7,"('Wimbledon', 'US Open', 'Wimbledon', 'US Open', 'Wimbledon', 'Wimbledon', 'Wimbledon')"
200003,Justine Henin,11,7,"('Roland Garros', 'US Open', 'Australian Open', 'Roland Garros', 'Roland Garros', 'Roland Garros', 'US Open')"
201345,Maria Sharapova,4,3,"('Wimbledon', 'US Open', 'Australian Open')"
200077,Jennifer Capriati,3,3,"('Australian Open', 'Roland Garros', 'Australian Open')"
200065,Amelie Mauresmo,2,2,"('Australian Open', 'Wimbledon')"
200128,Lindsay Davenport,5,1,"('Australian Open',)"
201421,Ana Ivanovic,3,1,"('Roland Garros',)"
201320,Svetlana Kuznetsova,3,1,"('US Open',)"
200772,Anastasia Myskina,1,1,"('Roland Garros',)"
200079,Kim Clijsters,5,1,"('US Open',)"
200096,Mary Pierce,3,1,"('Roland Garros',)"
200108,Elena Dementieva,2,0,()
200001,Martina Hingis,3,0,()
200049,Conchita Martinez,1,0,()
201294,Marion Bartoli,1,0,()
201336,Dinara Safina,1,0,()
201347,Jelena Jankovic,1,0,()
