id,name,year,position
200033,Serena Williams,"[1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]","[99, 17, 4, 4, 5, 1, 1, 3, 2, 11, 5, 1, 1, 1, 4, 3, 1, 1, 1, 1, 1, 15, 8, 8, 7]"
200079,Kim Clijsters,"[1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2009, 2010, 2011, 2012, 2020, 2021]","[409, 44, 18, 5, 3, 1, 2, 2, 1, 4, 17, 3, 1, 12, 1015, 1031]"
201419,Na Li,"[1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]","[324, 123, 134, 196, 271, 78, 33, 20, 16, 22, 15, 9, 4, 5, 3, 2]"
201345,Maria Sharapova,"[2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]","[186, 31, 4, 1, 2, 1, 1, 9, 12, 2, 1, 2, 2, 2, 4, 57, 21, 27, 145]"
201458,Victoria Azarenka,"[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]","[452, 144, 92, 26, 14, 6, 6, 3, 1, 1, 2, 19, 5, 13, 51, 38, 13, 13]"
201493,Angelique Kerber,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]","[432, 293, 238, 172, 67, 72, 86, 46, 29, 5, 5, 6, 7, 1, 1, 2, 2, 18, 25]"
201520,Petra Kvitova,"[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]","[451, 150, 44, 40, 29, 2, 2, 6, 3, 2, 6, 11, 4, 2, 7, 8]"
201585,Sloane Stephens,"[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]","[466, 500, 198, 89, 36, 11, 13, 28, 20, 13, 3, 3, 24, 39]"
201594,Simona Halep,"[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]","[723, 336, 184, 80, 40, 37, 11, 2, 2, 2, 1, 1, 1, 2, 2]"
202469,Garbine Muguruza,"[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]","[563, 395, 216, 94, 53, 20, 3, 2, 1, 2, 15, 15, 12]"
