id,name,year,position
200293,Martina Navratilova,"[1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 2004, 2005]","[1, 1, 1, 1, 2, 2, 2, 3, 3, 2, 3, 364, 382]"
200259,Chris Evert,"[1984, 1985, 1986, 1987, 1988, 1989, 1990]","[2, 1, 2, 2, 3, 3, 10]"
200348,Hana Mandlikova,"[1984, 1985, 1986, 1987, 1988, 1989, 1990]","[3, 3, 3, 3, 5, 14, 13]"
200414,Steffi Graf,"[1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999]","[22, 6, 3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 9, 3]"
200652,Monica Seles,"[1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004]","[84, 6, 2, 1, 1, 1, 8, 1, 1, 2, 4, 3, 3, 4, 4, 7, 59]"
200001,Martina Hingis,"[1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2006, 2007]","[83, 16, 4, 1, 1, 1, 1, 1, 3, 10, 7, 6]"
200748,Venus Williams,"[1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]","[203, 124, 22, 5, 3, 3, 2, 1, 2, 8, 6, 10, 8, 6, 3, 2, 5, 24, 18, 18, 7, 6, 5, 5, 34, 55, 76]"
200033,Serena Williams,"[1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]","[99, 17, 4, 4, 5, 1, 1, 3, 2, 11, 5, 1, 1, 1, 4, 3, 1, 1, 1, 1, 1, 15, 8, 8, 7]"
200003,Justine Henin,"[1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2010, 2011]","[226, 65, 39, 5, 4, 1, 1, 5, 1, 1, 1, 12, 12]"
201345,Maria Sharapova,"[2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]","[186, 31, 4, 1, 2, 1, 1, 9, 12, 2, 1, 2, 2, 2, 4, 57, 21, 27, 145]"
