id,name,surname,rank,country
101736,Andre,Agassi,1,USA
102338,Yevgeny,Kafelnikov,2,RUS
101948,Pete,Sampras,3,USA
103017,Nicolas,Kiefer,4,GER
102856,Gustavo,Kuerten,5,BRA
102358,Thomas,Enqvist,6,SWE
102839,Nicolas,Lapentti,7,ECU
101774,Todd,Martin,8,USA
102701,Marcelo,Rios,9,CHI
101990,Richard,Krajicek,10,NED
103163,Tommy,Haas,11,GER
102450,Tim,Henman,12,GBR
102257,Greg,Rusedski,13,GBR
102796,Magnus,Norman,14,SWE
101611,Cedric,Pioline,15,FRA
102158,Patrick,Rafter,16,AUS
102344,Karol,Kucera,17,SVK
102610,Albert,Costa,18,ESP
102882,Mark,Philippoussis,19,AUS
102434,Vincent,Spadea,20,USA
103720,Lleyton,Hewitt,21,AUS
102845,Carlos,Moya,22,ESP
103103,Dominik,Hrbaty,23,SVK
103498,Marat,Safin,24,RUS
102456,Felix,Mantilla,25,ESP
102148,Fabrice,Santoro,26,FRA
103206,Sebastien,Grosjean,27,FRA
102374,Alex,Corretja,28,ESP
101897,Fernando,Meligeni,29,BRA
102259,Jerome,Golmard,30,FRA
101962,Younes,El Aynaoui,31,MAR
103151,Mariano,Zabaleta,32,ARG
102446,Andrei,Medvedev,33,UKR
102765,Nicolas,Escude,34,FRA
102223,Karim,Alami,35,MAR
101793,Jim,Courier,36,USA
102854,Sjeng,Schalken,37,NED
102562,Jiri,Novak,38,CZE
101532,Francisco,Clavet,39,ESP
102905,Stefan,Koubek,40,AUT
101888,Daniel,Vacek,41,CZE
102271,Hicham,Arazi,42,MAR
102563,Thomas,Johansson,43,SWE
102318,Andrei,Pavel,44,ROU
103507,Juan Carlos,Ferrero,45,ESP
101820,Marc,Rosset,46,SUI
102776,Andrew,Ilie,47,AUS
103252,Alberto,Martin,48,ESP
102644,Franco,Squillari,49,ARG
102021,Michael,Chang,50,USA
103324,Arnaud,Di Pasquale,51,FRA
102227,Sargis,Sargsian,52,ARM
102950,Fernando,Vicente,53,ESP
101965,Wayne,Ferreira,54,RSA
103096,Arnaud,Clement,55,FRA
102162,Chris,Woodruff,56,USA
102998,Jan Michael,Gambill,57,USA
102783,Rainer,Schuettler,58,GER
102238,Alberto,Berasategui,59,ESP
101320,Magnus,Gustafsson,60,SWE
103819,Roger,Federer,61,SUI
102024,Hernan,Gumy,62,ARG
101543,Jeff,Tarango,63,USA
103018,Max,Mirnyi,64,BLR
102104,Christian,Ruud,65,NOR
102770,John,Van Lottum,66,NED
102184,David,Prinosil,67,GER
101964,Goran,Ivanisevic,68,CRO
101792,Slava,Dosedel,69,CZE
101647,Byron,Black,70,ZIM
102548,Juan Antonio,Marin,71,CRC
103292,Gaston,Gaudio,72,ARG
103084,Guillermo,Canas,73,ARG
103182,Markus,Hipfl,74,AUT
102869,Galo,Blanco,75,ESP
102035,Jonas,Bjorkman,76,SWE
102567,George,Bastl,77,SUI
102025,Mikael,Tillstrom,78,SWE
103344,Ivan,Ljubicic,79,CRO
101735,Richard,Fromberg,80,AUS
101150,Gianluca,Pozzi,81,ITA
102925,Justin,Gimelstob,82,USA
102533,Jens,Knippschild,83,GER
102831,Jacobo,Diaz,84,ESP
102133,Laurence,Tieleman,85,ITA
102202,Kenneth,Carlsen,86,DEN
102834,Paul,Goldstein,87,USA
102093,Martin,Damm,88,USA
102247,Andrea,Gaudenzi,89,ITA
102110,Daniel,Nestor,90,CAN
102287,Albert,Portas,91,ESP
101733,Jan,Siemerink,92,NED
101086,Ronald,Agenor,93,USA
101727,Jason,Stoltenberg,94,AUS
