id,name,surname,rank,country
104745,Rafael,Nadal,2,ESP
106233,Dominic,Thiem,3,AUT
106421,Daniil,Medvedev,4,RUS
103819,Roger,Federer,5,SUI
126774,Stefanos,Tsitsipas,6,GRE
100644,Alexander,Zverev,7,GER
126094,Andrey,Rublev,8,RUS
106043,Diego Sebastian,Schwartzman,9,ARG
126610,Matteo,Berrettini,10,ITA
104792,Gael,Monfils,11,FRA
133430,Denis,Shapovalov,12,CAN
105138,Roberto,Bautista Agut,13,ESP
105683,Milos,Raonic,14,CAN
105807,Pablo,Carreno Busta,15,ESP
105676,David,Goffin,16,BEL
104926,Fabio,Fognini,17,ITA
104527,Stanislas,Wawrinka,18,SUI
105777,Grigor,Dimitrov,19,BUL
111575,Karen,Khachanov,20,RUS
200000,Felix,Auger Aliassime,21,CAN
106426,Christian,Garin,22,CHI
200282,Alex,De Minaur,23,AUS
106432,Borna,Coric,24,CRO
104545,John,Isner,25,USA
105583,Dusan,Lajovic,26,SRB
134770,Casper,Ruud,27,NOR
105332,Benoit,Paire,28,FRA
126203,Taylor Harry,Fritz,29,USA
105936,Filip,Krajinovic,30,SRB
200005,Ugo,Humbert,31,FRA
105554,Daniel,Evans,32,GBR
132283,Lorenzo,Sonego,33,ITA
105173,Adrian,Mannarino,34,FRA
128034,Hubert,Hurkacz,35,POL
206173,Jannik,Sinner,36,ITA
105526,Jan Lennard,Struff,37,GER
105357,John,Millman,38,AUS
124187,Reilly,Opelka,39,USA
105932,Nikoloz,Basilashvili,40,GEO
105453,Kei,Nishikori,41,JPN
200175,Miomir,Kecmanovic,42,SRB
105227,Marin,Cilic,43,CRO
105550,Guido,Pella,44,ARG
105077,Albert,Ramos,45,ESP
106401,Nick,Kyrgios,46,AUS
104755,Richard,Gasquet,47,FRA
106378,Kyle,Edmund,48,GBR
122330,Alexander,Bublik,49,KAZ
105815,Tennys,Sandgren,50,USA
111442,Jordan,Thompson,51,AUS
126205,Tommy,Paul,52,USA
200221,Alejandro,Davidovich Fokina,53,ESP
105916,Marton,Fucsovics,54,HUN
111513,Laslo,Djere,55,SRB
105023,Sam,Querrey,56,USA
106415,Yoshihito,Nishioka,57,JPN
105379,Aljaz,Bedene,58,SLO
104665,Pablo,Andujar,59,ESP
104542,Jo Wilfried,Tsonga,60,FRA
105577,Vasek,Pospisil,61,CAN
126207,Francis,Tiafoe,62,USA
103852,Feliciano,Lopez,63,ESP
104468,Gilles,Simon,64,FRA
104269,Fernando,Verdasco,65,ESP
136440,Dominik,Koepfer,66,GER
106210,Jiri,Vesely,67,CZE
104655,Pablo,Cuevas,68,URU
105575,Ricardas,Berankis,69,LTU
106218,Marcos,Giron,70,USA
106298,Lucas,Pouille,71,FRA
104871,Jeremy,Chardy,72,FRA
105449,Steve,Johnson,73,USA
111815,Cameron,Norrie,74,GBR
105882,Stefano,Travaglia,75,ITA
106099,Salvatore,Caruso,76,ITA
105643,Federico,Delbonis,77,ARG
106078,Egor,Gerasimov,78,BLR
106065,Marco,Cecchinato,79,ITA
144895,Corentin,Moutet,80,FRA
106228,Juan Ignacio,Londero,81,ARG
104731,Kevin,Anderson,82,RSA
105732,Pierre Hugues,Herbert,83,FRA
106329,Thiago,Monteiro,84,BRA
105430,Radu,Albot,85,MDA
124079,Pedro,Martinez Portero,86,ESP
200325,Emil,Ruusuvuori,87,FIN
105613,Norbert,Gombos,88,SVK
105062,Mikhail,Kukushkin,89,KAZ
144750,Lloyd George Muirhead,Harris,90,RSA
105948,Federico,Coria,91,ARG
105311,Joao,Sousa,92,POR
105226,Attila,Balazs,93,HUN
144707,Mikael,Ymer,94,SWE
126952,Soon Woo,Kwon,95,KOR
106148,Roberto,Carballes Baena,96,ESP
104259,Philipp,Kohlschreiber,97,GER
