country,n_players,players
ESP,72,"['Rafael Nadal', 'Roberto Bautista Agut', 'Pablo Carreno Busta', 'Albert Ramos', 'Alejandro Davidovich Fokina', 'Pablo Andujar', 'Feliciano Lopez', 'Fernando Verdasco', 'Pedro Martinez Portero', 'Roberto Carballes Baena', 'Jaume Munar', 'Carlos Alcaraz Garfia', 'Jose Higueras', 'Manuel Orantes', 'Fernando Luna', 'Angel Gimenez', 'Jose Lopez Maeso', 'Jairo Velasco Jr', 'Alberto Tous', 'Juan Avendano', 'Juan Aguilera', 'Sergio Casal', 'Emilio Sanchez', 'Jordi Arrese', 'Javier Sanchez', 'David De Miguel', 'Sergi Bruguera', 'Tomas Carbonell', 'Jairo Velasco', 'Jose Garcia Requena', 'Jose Francisco Altur', 'Francisco Clavet', 'Francisco Roig', 'German Lopez', 'Carlos Costa', 'Marcos Aurelio Gorriz', 'Alex Corretja', 'Alberto Berasategui', 'Jordi Burillo', 'Albert Costa', 'Oscar Martinez', 'Carlos Moya', 'Alex Lopez Moron', 'Felix Mantilla', 'Roberto Carretero', 'Galo Blanco', 'Juan Albert Viloca Puig', 'Albert Portas', 'Emilio Benfele Alvarez', 'Julian Alonso', 'Fernando Vicente', 'Alberto Martin', 'Alex Calatrava', 'Jacobo Diaz', 'Juan Carlos Ferrero', 'David Sanchez', 'Juan Balcells', 'German Puentes', 'Tommy Robredo', 'Albert Montanes', 'David Ferrer', 'Ruben Ramirez Hidalgo', 'Oscar Hernandez', 'Nicolas Almagro', 'Santiago Ventura', 'Guillermo Garcia Lopez', 'Ivan Navarro', 'Marcel Granollers', 'Daniel Gimeno Traver', 'Pere Riba', 'Daniel Munoz De La Nava', 'Inigo Cervantes Huegun']"
AUT,18,"['Dominic Thiem', 'Dennis Novak', 'Peter Feigl', 'Thomas Muster', 'Horst Skoff', 'Alex Antonitsch', 'Hans Kary', 'Gilbert Schaller', 'Stefan Koubek', 'Markus Hipfl', 'Julian Knowle', 'Jurgen Melzer', 'Werner Eschauer', 'Oliver Marach', 'Alexander Peya', 'Daniel Koellerer', 'Andreas Haider Maurer', 'Gerald Melzer']"
RUS,21,"['Daniil Medvedev', 'Andrey Rublev', 'Karen Khachanov', 'Aslan Karatsev', 'Andrei Chesnokov', 'Alexander Volkov', 'Andrei Olhovskiy', 'Andrei Cherkasov', 'Yevgeny Kafelnikov', 'Marat Safin', 'Andrei Stoliarov', 'Mikhail Youzhny', 'Nikolay Davydenko', 'Dmitry Tursunov', 'Igor Andreev', 'Alex Bogomolov Jr', 'Igor Kunitsyn', 'Teymuraz Gabashvili', 'Andrey Kuznetsov', 'Evgeny Donskoy', 'Konstantin Kravchuk']"
SUI,11,"['Roger Federer', 'Stanislas Wawrinka', 'Heinz Gunthardt', 'Roland Stadler', 'Jakob Hlasek', 'Claudio Mezzadri', 'Marc Rosset', 'George Bastl', 'Michel Kratochvil', 'Marco Chiudinelli', 'Henri Laaksonen']"
GRE,1,['Stefanos Tsitsipas']
GER,73,"['Alexander Zverev', 'Jan Lennard Struff', 'Dominik Koepfer', 'Philipp Kohlschreiber', 'Yannick Hanfmann', 'Rolf Gehring', 'Andreas Maurer', 'Peter Elter', 'Ulrich Pinner', 'Damir Keretic', 'Michael Westphal', 'Hans Schwaier', 'Boris Becker', 'Wolfgang Popp', 'Ricki Osterthun', 'Eric Jelen', 'Carl Uwe Steeb', 'Paul Vojtischek', 'Tore Meinecke', 'Patrik Kuhnen', 'Christian Saceanu', 'Udo Riglewski', 'Andres Vysand', 'Michael Stich', 'Jens Woehrmann', 'Klaus Eberhard', 'Alexander Mronz', 'Patrick Baur', 'Markus Zoecke', 'Lars Koslowski', 'Karsten Braasch', 'Markus Naewie', 'Arne Thoms', 'Bernd Karbacher', 'David Prinosil', 'Marc Kevin Goellner', 'Hendrik Dreekmann', 'Joern Renzenbrink', 'Oliver Gross', 'Lars Rehmann', 'Martin Sinner', 'Alex Radulescu', 'Tommy Haas', 'Nicolas Kiefer', 'Jens Knippschild', 'Marcello Craca', 'Michael Kohlmann', 'Rainer Schuettler', 'Markus Hantschk', 'Tomas Behrend', 'Alexander Popp', 'Daniel Elsner', 'Lars Burgsmuller', 'Axel Pretzsch', 'Alexander Waske', 'Florian Mayer', 'Bjorn Phau', 'Simon Greul', 'Denis Gremelmayr', 'Benjamin Becker', 'Michael Berrer', 'Mischa Zverev', 'Philipp Petzschner', 'Andreas Beck', 'Daniel Brands', 'Dustin Brown', 'Tobias Kamke', 'Julian Reister', 'Matthias Bachinger', 'Cedrik Marcel Stebe', 'Peter Gojowczyk', 'Maximilian Marterer', 'Yannick Maden']"
ARG,59,"['Diego Sebastian Schwartzman', 'Guido Pella', 'Federico Delbonis', 'Juan Ignacio Londero', 'Federico Coria', 'Guillermo Vilas', 'Jose Luis Clerc', 'Jorge Cano', 'Gustavo Guerrero', 'Eduardo Bengoechea', 'Ricardo Cano', 'Alejandro Ganzabal', 'Roberto Arguello', 'Martin Jaite', 'Horacio De La Pena', 'Marcelo Ingaramo', 'Christian Miniussi', 'Francisco Yunis', 'Guillermo Perez Roldan', 'Franco Davin', 'Alberto Mancini', 'Javier Frana', 'Carlos Castellan', 'Carlos Gattiker', 'Roberto Azar', 'Gabriel Markus', 'Hernan Gumy', 'Mariano Zabaleta', 'Franco Squillari', 'Lucas Arnold Ker', 'Guillermo Canas', 'Mariano Puerta', 'Martin Rodriguez', 'Gaston Gaudio', 'Juan Ignacio Chela', 'Agustin Calleri', 'Guillermo Coria', 'Jose Acasuso', 'David Nalbandian', 'Martin Vassallo Arguello', 'Juan Monaco', 'Edgardo Massa', 'Carlos Berlocq', 'Sergio Roitman', 'Juan Martin Del Potro', 'Diego Hartfield', 'Juan Pablo Guzman', 'Juan Pablo Brzezicki', 'Eduardo Schwank', 'Maximo Gonzalez', 'Brian Dabul', 'Diego Junqueira', 'Leonardo Mayer', 'Horacio Zeballos', 'Martin Alund', 'Facundo Bagnis', 'Renzo Olivo', 'Nicolas Kicker', 'Guido Andreozzi']"
ITA,44,"['Matteo Berrettini', 'Fabio Fognini', 'Lorenzo Sonego', 'Jannik Sinner', 'Stefano Travaglia', 'Salvatore Caruso', 'Marco Cecchinato', 'Gianluca Mager', 'Andreas Seppi', 'Lorenzo Musetti', 'Corrado Barazzutti', 'Adriano Panatta', 'Paolo Bertolucci', 'Gianni Ocleppo', 'Claudio Panatta', 'Francesco Cancellotti', 'Paolo Cane', 'Simone Colombo', 'Claudio Pistolesi', 'Massimiliano Narducci', 'Diego Nargiso', 'Omar Camporese', 'Gianluca Rinaldini', 'Renzo Furlan', 'Cristiano Caratti', 'Stefano Pescosolido', 'Gianluca Pozzi', 'Andrea Gaudenzi', 'Davide Sanguinetti', 'Marzio Martelli', 'Laurence Tieleman', 'Vincenzo Santopadre', 'Federico Luzzi', 'Filippo Volandri', 'Potito Starace', 'Alessio Di Mauro', 'Daniele Bracciali', 'Stefano Galvani', 'Simone Bolelli', 'Flavio Cipolla', 'Paolo Lorenzi', 'Luca Vanni', 'Thomas Fabbiano', 'Alessandro Giannessi']"
FRA,71,"['Gael Monfils', 'Benoit Paire', 'Ugo Humbert', 'Adrian Mannarino', 'Richard Gasquet', 'Jo Wilfried Tsonga', 'Gilles Simon', 'Lucas Pouille', 'Jeremy Chardy', 'Corentin Moutet', 'Pierre Hugues Herbert', 'Yannick Noah', 'Christophe Roger Vasselin', 'Pascal Portes', 'Christophe Freyss', 'Thierry Tulasne', 'Gilles Moretton', 'Henri Leconte', 'Dominique Bedel', 'Guy Forget', 'Bernard Fritz', 'Tarik Benhabiles', 'Thierry Champion', 'Jean Philippe Fleurian', 'Eric Winogradsky', 'Jerome Potier', 'Olivier Delaitre', 'Loic Courteau', 'Jean Francois Caujolle', 'Patrice Dominguez', 'Jean Louis Haillet', 'Patrick Proisy', 'Eric Deblicker', 'Fabrice Santoro', 'Guillaume Raoux', 'Cedric Pioline', 'Rodolphe Gilbert', 'Arnaud Boetsch', 'Frederic Fontang', 'Stephane Simian', 'Lionel Roux', 'Jerome Golmard', 'Arnaud Clement', 'Nicolas Escude', 'Sebastien Grosjean', 'Arnaud Di Pasquale', 'Antony Dupuis', 'Julien Boutter', 'Stephane Huet', 'Michael Llodra', 'Nicolas Coutelot', 'Paul Henri Mathieu', 'Olivier Mutis', 'Cyril Saulnier', 'Gregory Carraz', 'Thierry Ascione', 'Nicolas Mahut', 'Julien Benneteau', 'Olivier Patience', 'Jerome Haehnel', 'Florent Serra', 'Marc Gicquel', 'Nicolas Devilder', 'Edouard Roger Vasselin', 'Josselin Ouanna', 'Stephane Robert', 'Eric Prodon', 'Guillaume Rufin', 'Kenny De Schepper', 'Antonie Hoang', 'Gregoire Barrere']"
CAN,16,"['Denis Shapovalov', 'Milos Raonic', 'Felix Auger Aliassime', 'Vasek Pospisil', 'Glenn Michibata', 'Greg Halder', 'Martin Wostenholme', 'Chris Pridham', 'Martin Laurendeau', 'Andrew Sznajder', 'Grant Connell', 'Sebastien Lareau', 'Daniel Nestor', 'Frank Dancevic', 'Jesse Levine', 'Brayden Schnur']"
