country,n_players,players
ROU,17,"['Simona Halep', 'Patricia Maria Tig', 'Sorana Cirstea', 'Irina Camelia Begu', 'Ana Bogdan', 'Virginia Ruzici', 'Ruxandra Dragomir Ilie', 'Irina Spirlea', 'Catalina Cristea', 'Raluca Sandu', 'Edina Gallovits Hall', 'Raluca Olaru', 'Monica Niculescu', 'Alexandra Dulgheru', 'Alexandra Cadantu', 'Cristina Andreea Mitu', 'Mihaela Buzarnescu']"
JPN,27,"['Naomi Osaka', 'Nao Hibino', 'Misaki Doi', 'Etsuko Inoue', 'Masako Yanagi', 'Akiko Kijimuta', 'Kumiko Okamoto', 'Kimiko Date Krumm', 'Nana Smith', 'Naoko Sawamatsu', 'Maya Kidowaki', 'Rika Hiraki', 'Mana Endo', 'Yone Kamio', 'Kyoko Nagatsuka', 'Ai Sugiyama', 'Naoko Kijimuta', 'Yuka Yoshida', 'Miho Saeki', 'Shinobu Asagoe', 'Saori Obata', 'Akiko Morigami', 'Aiko Nakamura', 'Rika Fujiwara', 'Ayumi Morita', 'Kurumi Nara', 'Risa Ozaki']"
USA,164,"['Sofia Kenin', 'Serena Williams', 'Madison Keys', 'Jennifer Brady', 'Alison Riske', 'Amanda Anisimova', 'Sloane Stephens', 'Danielle Rose Collins', 'Cori Gauff', 'Shelby Rogers', 'Bernarda Pera', 'Jessica Pegula', 'Lauren Davis', 'Venus Williams', 'Christina Mchale', 'Madison Brengle', 'Taylor Townsend', 'Ann Li', 'Martina Navratilova', 'Chris Evert', 'Andrea Jaeger', 'Tracy Austin', 'Pam Shriver', 'Zina Garrison', 'Kathy Jordan', 'Kathy Rinaldi Stunkel', 'Kathy Horvath', 'Bonnie Gadusek', 'Barbara Potter', 'Rosalyn Fairbank', 'Anne Smith', 'Michelle Torres', 'Alycia Moulton', 'Wendy Prausa', 'Anne White', 'Lisa Bonder Kreiss', 'Joanne Russell', 'Pam Casale', 'Kim Jones Shaefer', 'Beth Herr', 'Elise Burgin', 'Andrea Leand', 'Camille Benjamin', 'Sharon Walsh Pete', 'Mareen Louie Harper', 'Terry Phelps', 'Gretchen Magers', 'Rosie Casals', 'Leigh Anne Thompson', 'Sandy Collins', 'Mary Lou Daniels', 'Kim Sands', 'Ann Kiyomura Hayashi', 'Kate Gompert', 'Betsy Nagelsen', 'Heather Ludloff', 'Julie Harrington', 'Leslie Allen', 'Candy Reynolds', 'Terry Holladay', 'Susan Mascarin', 'Gigi Fernandez', 'Beverly Bowes', 'Billie Jean King', 'Vicki Nelson Dunbar', 'Lori Mcneil', 'Ann Henricksson', 'Melissa Brown', 'Lea Antonoplis', 'Kim Steinmetz', 'Debbie Spence Nasim', 'Shawn Foltz', 'Melissa Gurney', 'Robin White', 'Stephanie Rehe', 'Mary Joe Fernandez', 'Patty Fendick', 'Caroline Kuhlman', 'Molly Van Nostrand', 'Anna Ivan', 'Hu Na', 'Susan Sloane Lundy', 'Ginny Purdy', 'Jill Smoller', 'Cammy Macgregor', 'Marianne Werdel Witmeyer', 'Grace Kim', 'Tina Mochizuki', 'Barbara Gerken', 'Kathrin Keil', 'Elly Hakami', 'Halle Cioffi', 'Katrina Adams', 'Amy Frazier', 'Ann Grossman', 'Ronni Reis', 'Monica Seles', 'Stacey Martin', 'Donna Faber', 'Louise Allen', 'Shaun Stafford', 'Carrie Cunningham', 'Meredith Mcgrath', 'Tami Whitlinger Jones', 'Jennifer Capriati', 'Linda Wild', 'Audra Keller', 'Ginger Helgeson', 'Erika De Lone', 'Debbie Graham', 'Chanda Rubin', 'Kimberly Po Messerli', 'Lisa Raymond', 'Lindsay Davenport', 'Nicole Arendt', 'Sandra Cacic', 'Jolene Watanabe Giltz', 'Lindsay Lee Waters', 'Anne Miller', 'Meilen Tu', 'Corina Morariu', 'Tara Snyder', 'Karin Miller', 'Meghann Shaughnessy', 'Jane Chi', 'Brie Rippner', 'Samantha Reeves', 'Lilia Osterloh', 'Alexandra Stevenson', 'Marissa Gould', 'Jill Craybas', 'Jennifer Hopkins', 'Holly Parkinson', 'Mashona Washington', 'Ansley Cargill', 'Dawn Buth', 'Laura Granville', 'Sarah Taylor', 'Ashley Harkleroad', 'Bethanie Mattek Sands', 'Shenay Perry', 'Angela Haynes', 'Teryn Ashley', 'Abigail Spears', 'Jamea Jackson', 'Vania King', 'Ahsha Rolle', 'Varvara Lepchenko', 'Julie Ditty', 'Melanie Oudin', 'Coco Vandeweghe', 'Irina Falconi', 'Jamie Hampton', 'Julia Cohen', 'Mallory Burdette', 'Victoria Duval', 'Nicole Gibbs', 'Grace Min', 'Louisa Chirico', 'Samantha Crawford', 'Catherine Cartan Bellis', 'Julia Boserup', 'Sachia Vickery', 'Kristie Ahn']"
UKR,19,"['Elina Svitolina', 'Dayana Yastremska', 'Marta Kostyuk', 'Natalia Medvedeva', 'Elena Brioukhovets', 'Olga Lugina', 'Elena Tatarkova', 'Tatiana Perebiynis', 'Julia Vakulenko', 'Yuliya Beygelzimer', 'Yuliana Fedak', 'Alona Bondarenko', 'Kateryna Bondarenko', 'Viktoria Kutuzova', 'Olga Savchuk', 'Mariya Koryttseva', 'Lesia Tsurenko', 'Nadiya Kichenok', 'Kateryna Kozlova']"
CZE,42,"['Karolina Pliskova', 'Petra Kvitova', 'Marketa Vondrousova', 'Karolina Muchova', 'Barbora Zahlavova Strycova', 'Marie Bouzkova', 'Katerina Siniakova', 'Barbora Krejcikova', 'Kristyna Pliskova', 'Tereza Martincova', 'Helena Sukova', 'Regina Marsikova', 'Jana Novotna', 'Jana Pospisilova', 'Eva Sviglerova', 'Andrea Strnadova', 'Katerina Kroupova', 'Radka Bobkova', 'Ludmila Richterova', 'Denisa Chladkova', 'Adriana Gersi', 'Lenka Cenkova', 'Sandra Kleinova', 'Eva Martincova', 'Lenka Nemeckova', 'Kveta Peschke', 'Daja Bedanova', 'Iveta Benesova', 'Zuzana Ondraskova', 'Klara Koukalova', 'Eva Birnerova', 'Nicole Vaidisova', 'Michaela Pastikova', 'Lucie Safarova', 'Hana Sromova', 'Sandra Zahlavova', 'Petra Cetkovska', 'Lucie Hradecka', 'Renata Voracova', 'Andrea Hlavackova', 'Tereza Smitkova', 'Denisa Allertova']"
CAN,15,"['Bianca Andreescu', 'Leylah Annie Fernandez', 'Carling Bassett Seguso', 'Patricia Hy Boulais', 'Jill Hetherington', 'Helen Kelesi', 'Rene Collins', 'Jana Nejedly', 'Sonya Jeyaseelan', 'Maureen Drake', 'Stephanie Dubois', 'Aleksandra Wozniak', 'Rebecca Marino', 'Eugenie Bouchard', 'Sharon Fichman']"
NED,16,"['Kiki Bertens', 'Arantxa Rus', 'Marcella Mesker', 'Manon Bollegraf', 'Brenda Schultz Mccarthy', 'Hester Witvoet', 'Nicole Krijger Jagerman', 'Stephanie Rottier', 'Miriam Oremans', 'Kristie Boogert', 'Petra Kamstra', 'Seda Noorlander', 'Amanda Hopmans', 'Yvette Basting', 'Michaella Krajicek', 'Richel Hogenkamp']"
BLR,11,"['Aryna Sabalenka', 'Victoria Azarenka', 'Aliaksandra Sasnovich', 'Natalia Zvereva', 'Tatiana Ignatieva', 'Olga Barabanschikova', 'Nadejda Ostrovskaya', 'Tatiana Poutchek', 'Anastasia Yakimova', 'Olga Govortsova', 'Vera Lapko']"
SUI,20,"['Belinda Bencic', 'Jil Belen Teichmann', 'Viktorija Golubic', 'Christiane Jolissaint', 'Manuela Maleeva Fragniere', 'Lilian Drescher', 'Csilla Cserepy', 'Eva Krapl', 'Cathy Caverzasio', 'Emanuela Zardo', 'Christelle Fauche', 'Martina Hingis', 'Patty Schnyder', 'Emmanuelle Gagliardi', 'Miroslava Vavrinec', 'Marie Gaiane Mikaelian', 'Myriam Casanova', 'Romina Oprandi', 'Timea Bacsinszky', 'Stefanie Voegele']"
GBR,19,"['Johanna Konta', 'Heather Watson', 'Jo Durie', 'Virginia Wade', 'Anne Hobbs', 'Sue Barker', 'Annabel Croft', 'Sara Gomer', 'Monique Javer', 'Sarah Loosemore', 'Clare Wood', 'Samantha Smith', 'Anne Keothavong', 'Elena Baltacha', 'Katie Obrien', 'Melanie South', 'Laura Robson', 'Naomi Broady', 'Katie Boulter']"
