id,name,ace,df,1stWon,2ndWon,bpSaved,bpLost,matches,hard,clay,grass
101723,Magnus Larsson,0.08074713397518297,0.03050971956242294,0.7288079606920187,0.5571013125835101,0.627979274611399,0.38754958803783945,511,105,93,71
101414,Boris Becker,0.12221226045052112,0.056427210579401546,0.7939438339438339,0.5780539557441648,0.657092355280601,0.3980253008330762,467,100,45,160
100946,Slobodan Zivojinovic,0.14611260053619302,0.0388739946380697,0.7612293144208038,0.6007194244604317,0.6938775510204082,0.3928571428571429,14,3,0,0
101256,Mark Kratzmann,0.09523809523809523,0.023809523809523808,0.8536585365853658,0.5555555555555556,0.5,0.09999999999999998,1,0,0,0
101234,Patrik Kuhnen,0.1111111111111111,0.018518518518518517,0.7741935483870968,0.6153846153846154,1.0,0.5,1,1,0,0
101421,Veli Paloheimo,0.03333333333333333,0.03333333333333333,0.5945945945945946,0,0.5,0.0,1,0,0,0
101889,Todd Woodbridge,0.03605408112168253,0.053757106247606705,0.6876308182996113,0.5452207102555593,0.5819723618090452,0.41666666666666663,430,122,20,69
101703,Guillaume Raoux,0.04054054054054054,0.04054054054054054,0.6666666666666666,0.9090909090909091,0.625,0.0,1,0,0,0
101274,Udo Riglewski,0.05555555555555555,0.027777777777777776,0.825,0.7142857142857143,0.875,0.5,1,1,0,0
101843,Sergi Bruguera,0.05160420215786485,0.02474919553284119,0.6968287695946759,0.5396161417322834,0.5922380336351876,0.44888001774229314,618,79,232,41
102148,Fabrice Santoro,0.03925728644728329,0.02991317955431168,0.6700869428996632,0.5459306548415459,0.5947916666666667,0.41253263707571797,874,234,116,87
101285,Thierry Champion,0.016129032258064516,0.0,0.4444444444444444,0,0.625,0.2222222222222222,1,0,0,0
101900,Nicklas Kulti,0.06521739130434782,0.0,0.8181818181818182,0.5,1.0,0.5714285714285714,1,1,0,0
102000,Aki Rahunen,0.0,0.0851063829787234,0.7272727272727273,1.0,0.42857142857142855,0.0,1,0,0,0
101529,Michael Stich,0.09932955428308347,0.048139728944263806,0.7783995523223279,0.5899843505477308,0.6606606606606606,0.4037711313394018,487,95,79,122
101179,Jean Philippe Fleurian,0.03125,0.0,0.6428571428571429,0.7692307692307693,0.7777777777777778,0,1,0,0,0
101332,Gilad Bloom,0.016666666666666666,0.0,0.6704545454545454,0,0.7857142857142857,0.4444444444444444,1,1,0,0
101776,Sandon Stolle,0.08396946564885496,0.1297709923664122,0.7536231884057971,0.68,0.5555555555555556,0.2142857142857143,1,0,0,0
101727,Jason Stoltenberg,0.06816203924651189,0.045506863928581456,0.7300610476565577,0.5424249068186802,0.6008362817626246,0.4148652650281315,468,126,56,58
101797,Jacco Eltingh,0.09247611273827243,0.04705430450857061,0.7337767808801918,0.5534163288940359,0.6211401425178147,0.3590462833099579,268,35,34,48
101061,Jimmy Arias,0.02530232558139535,0.03813953488372093,0.6317349137931034,0.5588437715072264,0.5789473684210527,0.4174573055028463,72,25,10,0
101511,Horst Skoff,0.04113722998729352,0.03804002541296061,0.6596177307848718,0.5439153439153439,0.5680245964642583,0.41382049245432884,192,8,69,6
101185,Mark Woodforde,0.057739201114723644,0.04418253599628425,0.71129855043184,0.5502096835684331,0.616866708780796,0.3941267387944358,451,119,32,67
101440,Mark Koevermans,0.05970149253731343,0.07462686567164178,0.7428571428571429,1.0,0.6666666666666666,0.25,1,0,0,0
101441,Martin Sinner,0.0125,0.05,0.6818181818181818,0.55,0.8,0.30000000000000004,1,1,0,0
101117,Eric Jelen,0.043478260869565216,0.057971014492753624,0.6666666666666666,1.0,0.7,0.19999999999999996,1,0,0,0
101235,Paul Haarhuis,0.05662820814692724,0.02834353661408053,0.6971986459304322,0.5421915854528168,0.6062683643486778,0.42000697107005924,462,103,43,73
101242,Brad Pearce,0.0,0.0136986301369863,0.5333333333333333,0.8,0.5,1.0,1,0,0,0
101793,Jim Courier,0.06454971369078605,0.03220695742706471,0.7421081376297105,0.5827719275295964,0.635036496350365,0.4228011472275335,595,230,76,77
101123,Alexander Mronz,0.10112359550561797,0.02247191011235955,0.7058823529411765,0.9230769230769231,0.7333333333333333,0.5,1,0,0,0
101320,Magnus Gustafsson,0.03716850580034468,0.04591403657689636,0.6815883050177796,0.5709915880703543,0.598989048020219,0.4321394910461829,538,61,169,83
101377,Christian Bergstrom,0.031914893617021274,0.02127659574468085,0.6607142857142857,0.5714285714285714,0.5,0.19999999999999996,1,1,0,0
101772,Andrei Cherkasov,0.030091743119266056,0.030688073394495412,0.6590146430750458,0.5312187812187812,0.5765283355644801,0.41614608361364724,301,53,38,28
101265,Patrick McEnroe,0.017543859649122806,0.03508771929824561,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.4545454545454546,1,1,0,0
101214,Bryan Shelton,0.07692307692307693,0.06153846153846154,0.6875,1.0,0.5454545454545454,0.16666666666666663,1,0,0,0
101432,Dimitri Poliakov,0.008264462809917356,0.03305785123966942,0.6125,0,0.7407407407407407,0.5625,1,1,0,0
100790,Bruce Derlin,0.0,0.0,0.45569620253164556,1.0,0.4375,0.2592592592592593,1,0,0,0
101439,Javier Sanchez,0.03296703296703297,0.01098901098901099,0.5882352941176471,0,0.5454545454545454,0.6,1,1,0,0
100857,Sergio Casal,0.046511627906976744,0.011627906976744186,0.6229508196721312,0,0.4,0.4545454545454546,1,0,0,0
101735,Richard Fromberg,0.05,0.03333333333333333,0.6944444444444444,0.9090909090909091,0.625,0.46153846153846156,1,1,0,0
101955,Luis Herrera,0.030303030303030304,0.015151515151515152,0.425,0.7692307692307693,0.5384615384615384,0.375,1,0,0,0
101119,Marian Vajda,0.02531645569620253,0.0379746835443038,0.6,0.43478260869565216,0.8461538461538461,0.5,1,1,0,0
101532,Francisco Clavet,0.02365711641537809,0.028862838853969845,0.6533717229883316,0.5619853745609489,0.5807027992852889,0.4277909306137315,689,101,244,20
100752,Ramesh Krishnan,0.025974025974025976,0.012987012987012988,0.5178571428571429,0,0.4,0.35,1,1,0,0
101601,Brett Steven,0.018691588785046728,0.06542056074766354,0.5774647887323944,1.0,0.65,0.6,1,0,0,0
100954,Luiz Mattar,0.015873015873015872,0.015873015873015872,0.7105263157894737,0.6666666666666666,0.8571428571428571,0.6,1,1,0,0
100772,Kelly Evernden,0.03225806451612903,0.016129032258064516,0.675,1.0,0.4,0.1428571428571429,1,0,0,0
101481,Omar Camporese,0.07109164420485176,0.0328167115902965,0.7351658517245936,0.5298628520867129,0.6102189781021898,0.42690058479532167,205,26,25,37
101469,Brian Garrow,0.023809523809523808,0.023809523809523808,0.4827586206896552,0,0.3333333333333333,1.0,1,0,0,0
101482,Markus Zoecke,0.046875,0.046875,0.7692307692307693,0.6923076923076923,1.0,0.5,1,1,0,0
101888,Daniel Vacek,0.04,0.02,0.6666666666666666,1.0,0.5,0.0,1,0,0,0
101312,Robbie Weiss,0.05511811023622047,0.06299212598425197,0.7088607594936709,0.7894736842105263,0.8666666666666667,0.4545454545454546,1,1,0,0
101746,Renzo Furlan,0.04082231054929302,0.023066397341499966,0.6720806034245445,0.5251524390243902,0.5668537471112578,0.4196516595465002,441,51,111,32
100962,Thomas Hogstedt,0.03571428571428571,0.047619047619047616,0.6724137931034483,1.0,0.7272727272727273,0.4285714285714286,1,1,0,0
101120,Karel Novacek,0.0782829316200843,0.028849695134427304,0.7338269120184013,0.5371201305323271,0.6196977084349098,0.39799476896251085,335,35,105,41
101233,Alex Antonitsch,0.041666666666666664,0.020833333333333332,0.896551724137931,0.75,1.0,0.25,1,1,0,0
101416,Joao Cunha Silva,0.05357142857142857,0.05357142857142857,0.6428571428571429,0,0.75,0.0,1,0,0,0
101354,Andrew Sznajder,0.08571428571428572,0.08571428571428572,0.7777777777777778,0,0.8571428571428571,0.8,1,1,0,0
101109,Tarik Benhabiles,0.05660377358490566,0.05660377358490566,0.6666666666666666,1.0,0.2,0.1428571428571429,1,0,0,0
101761,Jaime Oncins,0.0375,0.025,0.6511627906976745,0.5909090909090909,0.0,0.5,1,1,0,0
101613,Malivai Washington,0.06887408213217297,0.03912836551536579,0.7200621189462786,0.5713759779107225,0.610338835794961,0.4241531664212077,396,122,39,62
101767,Lars Jonsson,0.05084745762711865,0.03389830508474576,0.71875,0.5294117647058824,0.6666666666666666,0.6666666666666667,1,1,0,0
101334,Alexander Volkov,0.0590872299358695,0.04317912956852002,0.717848468692613,0.5412512642681694,0.6072860962566845,0.43031784841075793,425,100,25,88
101142,Emilio Sanchez,0.045533989513384235,0.01646582651090056,0.6787237066515065,0.5319731617143639,0.594553706505295,0.40101781170483464,303,46,92,4
100587,Steve Guy,0.07142857142857142,0.125,0.7333333333333333,0,0.6363636363636364,0.5,1,0,0,0
101901,Chuck Adams,0.06153846153846154,0.06153846153846154,0.7391304347826086,0.8333333333333334,1.0,0.33333333333333337,1,1,0,0
101409,Jaime Yzaga,0.02430409110080135,0.035849852382960776,0.6578667611622963,0.5531884472404919,0.5832004253056885,0.4291845493562232,258,66,45,10
101407,David Engel,0.027777777777777776,0.037037037037037035,0.6557377049180327,0.5384615384615384,0.625,0.3846153846153846,1,0,0,0
101205,Grant Connell,0.053763440860215055,0.021505376344086023,0.7272727272727273,0.8333333333333334,0.5714285714285714,0.4,1,1,0,0
101230,Andrei Chesnokov,0.0364004462256745,0.03470644135024584,0.6499680238755063,0.527415706129484,0.5684007707129094,0.44313262495080674,341,58,71,27
100923,Wally Masur,0.058303058713230986,0.026602601664127506,0.7024325519681557,0.5743676859192148,0.6120754716981132,0.3932584269662921,229,51,10,48
100656,Ivan Lendl,0.08846473892240482,0.03411691283544831,0.7596064599962874,0.565189466923571,0.625,0.41993058998512645,250,89,30,45
101196,Derrick Rostagno,0.06812892305522252,0.04224557444107483,0.7085253456221198,0.5346271705822268,0.5953150242326333,0.39410395655546937,177,53,7,30
101073,Martin Jaite,0.059546019900497515,0.0320273631840796,0.6915213469633193,0.5369730476848652,0.5615763546798029,0.40991735537190077,91,14,26,2
101609,David Wheaton,0.09215335272618781,0.05254717684791527,0.7363449947182005,0.5527703066164604,0.6291479820627802,0.3978448275862069,324,93,22,55
101098,Guy Forget,0.1072258064516129,0.02761290322580645,0.7782057930217053,0.5528080008792174,0.6393544382371198,0.38353309015112036,310,80,21,63
100855,Scott Davis,0.040558079169370535,0.06521739130434782,0.6919540229885057,0.5373134328358209,0.5259259259259259,0.35205992509363293,38,9,0,3
101391,Carl Uwe Steeb,0.03615732847316127,0.02269386795226057,0.6668650203312506,0.5370228422504982,0.5773067331670823,0.4221002059025395,245,33,37,28
101381,Aaron Krickstein,0.05113577962791654,0.02708397574262514,0.6861352275716917,0.5417775412453433,0.5973669775095996,0.4203722854188211,243,83,23,23
101971,Johan Anderson,0.014084507042253521,0.04225352112676056,0.6486486486486487,0.6428571428571429,0.625,0.6,1,1,0,0
101309,Jay Berger,0.02806122448979592,0.0663265306122449,0.7188940092165899,0.5114503816793893,0.5681818181818182,0.4545454545454546,5,2,0,0
101434,Petr Korda,0.052932352310879345,0.05819463294997262,0.7170721816707218,0.5631511729515359,0.6144447461308715,0.4135931338436558,567,159,60,110
101084,Jakob Hlasek,0.07414261041204047,0.043547989143844064,0.739510368264096,0.5440443840579711,0.6035897435897436,0.4036561264822134,356,68,22,67
101990,Richard Krajicek,0.15561795466568998,0.04458145118626134,0.813759093452714,0.5715297450424929,0.6573305670816044,0.39430501930501927,635,185,75,140
101820,Marc Rosset,0.12321031658623521,0.06852359879052444,0.7853641207815275,0.5630004902761889,0.6193197278911564,0.3758068371981831,718,147,80,124
101190,Darren Cahill,0.0,0.07207207207207207,0.6515151515151515,0.7777777777777778,0.6363636363636364,0.6,1,1,0,0
101195,Amos Mansdorf,0.04870304918229198,0.028754567782903015,0.6976259891711787,0.5579138872043663,0.6136054421768707,0.4134041141340411,229,84,3,26
